word,url
anthropology,http://static.sfdict.com/staticrep/dictaudio/A05/A0531100.mp3
genealogy,http://static.sfdict.com/staticrep/dictaudio/G00/G0095500.mp3
neurology,http://static.sfdict.com/staticrep/dictaudio/N01/N0102500.mp3
pathology,http://static.sfdict.com/staticrep/dictaudio/P01/P0167200.mp3
phsiology,http://static.sfdict.com/staticrep/dictaudio/P04/P0412900.mp3
theology,http://static.sfdict.com/staticrep/dictaudio/T02/T0208800.mp3
biometrics,http://static.sfdict.com/staticrep/dictaudio/B03/B0352200.mp3
biopsy,http://static.sfdict.com/staticrep/dictaudio/B03/B0353900.mp3
symbiosis,http://static.sfdict.com/staticrep/dictaudio/S12/S1204600.mp3
dichotomy,http://static.sfdict.com/staticrep/dictaudio/D02/D0279400.mp3
phlebotomy,http://static.sfdict.com/staticrep/dictaudio/P03/P0367000.mp3
tracheotomy,http://static.sfdict.com/staticrep/dictaudio/T04/T0417400.mp3
podiatrist,http://static.sfdict.com/staticrep/dictaudio/P05/P0573000.mp3
pseudopod,http://static.sfdict.com/staticrep/dictaudio/P08/P0886500.mp3
homogeneous,http://static.sfdict.com/staticrep/dictaudio/H03/H0351200.mp3
homonym,http://static.sfdict.com/staticrep/dictaudio/H03/H0354300.mp3
heterogeneous,http://static.sfdict.com/staticrep/dictaudio/H02/H0243000.mp3
heteronym,http://static.sfdict.com/staticrep/dictaudio/H02/H0245600.mp3
heterodox,http://static.sfdict.com/staticrep/dictaudio/H02/H0242000.mp3
heteromorphic,http://static.sfdict.com/staticrep/dictaudio/H02/H0245300.mp3
